numero_sim,numero_appele,date_heure,duree_secondes,statut_appel,origine
055009988,+447700001,2026-04-21 23:00:10,7,echoue,international
055009988,+447700002,2026-04-21 23:01:45,6,abouti,international
055009988,+447700003,2026-04-21 23:03:10,8,echoue,international
055009988,+447700004,2026-04-21 23:04:22,5,echoue,international
055009988,+447700005,2026-04-21 23:05:50,7,abouti,international
055009988,+447700006,2026-04-21 23:07:30,6,echoue,international
055009988,+447700007,2026-04-21 23:08:55,5,abouti,international
055009988,+447700008,2026-04-21 23:10:21,8,echoue,international
055009988,+447700009,2026-04-21 23:12:09,7,abouti,international
055009988,+447700010,2026-04-21 23:14:48,6,echoue,international
055009988,+447700011,2026-04-21 23:16:37,5,abouti,international
055009988,+447700012,2026-04-21 23:18:19,7,echoue,international
055009988,+447700013,2026-04-21 23:20:03,6,abouti,international
055009988,+447700014,2026-04-21 23:22:44,8,echoue,international
055009988,+447700015,2026-04-21 23:24:16,5,abouti,international
055009988,+447700016,2026-04-21 23:26:52,7,echoue,international
055009988,+447700017,2026-04-21 23:29:11,6,abouti,international
055009988,+447700018,2026-04-21 23:31:48,5,echoue,international
055009988,+447700019,2026-04-21 23:34:22,7,abouti,international
055009988,+447700020,2026-04-21 23:37:05,6,echoue,international
055009988,+447700021,2026-04-21 23:40:17,5,abouti,international
055009988,+447700022,2026-04-21 23:43:46,7,echoue,international
055009988,+447700023,2026-04-21 23:47:10,6,abouti,international
055009988,+447700024,2026-04-21 23:50:39,5,echoue,international
055009981,054400001,2026-04-21 09:05:00,13,abouti,national
055009981,054400002,2026-04-21 09:20:00,12,abouti,national
055009981,054400003,2026-04-21 09:35:00,11,abouti,national
055009981,054400004,2026-04-21 09:50:00,12,abouti,national
055009981,054400001,2026-04-21 10:05:00,14,abouti,national
055009981,054400002,2026-04-21 10:20:00,10,abouti,national
055009981,054400003,2026-04-21 10:35:00,12,abouti,national
055009981,054400004,2026-04-21 10:50:00,11,abouti,national
055009982,054400001,2026-04-21 11:05:00,13,abouti,national
055009982,054400002,2026-04-21 11:20:00,12,abouti,national
055009982,054400003,2026-04-21 11:35:00,11,abouti,national
055009982,054400004,2026-04-21 11:50:00,10,abouti,national
055009982,054400001,2026-04-21 12:05:00,12,abouti,national
055009982,054400002,2026-04-21 12:20:00,14,abouti,national
055009982,054400003,2026-04-21 12:35:00,11,abouti,national
055009982,054400004,2026-04-21 12:50:00,13,abouti,national
055776655,052200001,2026-04-21 08:15:00,160,abouti,national
055776655,052200002,2026-04-21 10:40:00,210,abouti,national
055776655,052200003,2026-04-21 13:05:00,130,abouti,national
055776655,052200004,2026-04-21 15:30:00,190,abouti,national
055776655,052200005,2026-04-21 17:45:00,145,abouti,national
